Time (yr since J2000),Julian Date,Calendar Date,a (AU),e,i (deg),Omega (deg),omega (deg),M (deg)
10.999315537303216,2455562.5,2011-01-01,1.1366546637702912,0.20018949267144137,5.996101505294157,1.894195262312753,65.7495054908191,212.2974688142132
110.99931553730322,2492087.5,2111-01-02,1.1037474588924243,0.19408429815369507,6.205634302485327,-0.0009647543980510069,67.79732215299079,88.38842504495676
210.9993155373032,2528612.5,2211-01-03,1.1136506210215562,0.19276222607508647,6.234315272654,-0.8859274168582736,71.97997561234835,174.500552761742
310.99931553730323,2565137.5,2311-01-04,1.1020145220626474,0.19287249862315506,6.211398050608946,-2.4731644861833435,70.58816847065077,64.82786445049915
410.99931553730323,2601662.5,2411-01-04,1.0934126484202955,0.2018616776246207,6.1624670296116575,-3.501782454779076,76.47500713821607,235.2624944982907
510.99931553730323,2638187.5,2511-01-05,1.1206671762652995,0.20007861580120978,6.1024854754913385,-5.096939806768455,74.51992564902015,277.4522396076181
610.9993155373032,2674712.5,2611-01-06,1.1161406249949954,0.19465144436229645,6.047765326843995,-5.561926428212868,74.79865489126806,327.04081585343977
710.9993155373032,2711237.5,2711-01-07,1.0858197474838238,0.19174070575392105,6.023832341147935,-7.345589753275202,75.98638468023195,28.00705673437206
810.9993155373032,2747762.5,2811-01-07,1.1139312246551698,0.19266749487046203,5.956521399782559,-8.574828918199369,78.16092750062775,286.4516268203061
910.9993155373032,2784287.5,2911-01-08,1.123380231621595,0.20452749681201482,5.862729374211618,-10.369957757451065,80.27434492716347,47.8998370798729
1010.9993155373032,2820812.5,3011-01-09,1.118099239673501,0.19683576289217475,5.764117401491906,-11.84627589655128,81.35807153428124,265.68389482447515
1110.9993155373031,2857337.5,3111-01-10,1.0920277692864138,0.19965602362796836,5.6253590460113285,-13.06011495695183,86.35697076995983,262.6874833740738
1210.9993155373031,2893862.5,3211-01-10,1.1071646892049463,0.20761249395159959,5.485567737094746,-14.857745905364132,84.19387973860302,96.11153269818654
1310.9993155373031,2930387.5,3311-01-11,1.1027406791717693,0.20837486110922607,5.512509370169817,-16.588093073753402,85.53938510090313,187.7073893890418
1410.9993155373031,2966912.5,3411-01-12,1.102090826125224,0.20173175569998855,5.461622027156921,-18.188836684130894,88.61883031878989,301.48637387168765
1510.9993155373031,3003437.5,3511-01-13,1.1035722809537454,0.19782395906475428,5.437139797081376,-19.636194578956687,87.12971163648953,44.66444127988545
1610.9993155373031,3039962.5,3611-01-13,1.121239833648475,0.2057111323794767,5.355783300323729,-20.980141176495117,88.80824207758023,21.757379131730342
1710.9993155373031,3076487.5,3711-01-14,1.1272369975136867,0.20426530776892388,5.373665144042558,-22.559426466563828,89.7302224072068,295.95049858445606
1810.9993155373031,3113012.5,3811-01-15,1.1136735428082372,0.20522403441811654,5.31642292873349,-24.301627702857555,92.94726062241489,165.9293705142604
1910.9993155373031,3149537.5,3911-01-16,1.1179142281615737,0.2029017490559204,5.321695153910139,-25.78228837808268,97.23008989208674,354.2926803082814
2010.9993155373031,3186062.5,4011-01-16,1.1197477589142044,0.2042077481150232,5.339641851239483,-27.306917923824003,98.19582238449998,118.29020491161802
2110.999315537303,3222587.5,4111-01-17,1.1245189714761699,0.20417114543260265,5.33709725077118,-28.872795699463392,100.37108100770416,202.36572685098878
2210.999315537303,3259112.5,4211-01-18,1.1228986864377706,0.20125654677385554,5.344578054158469,-30.07234454548626,101.15322637727378,277.11368293144926
2310.999315537303,3295637.5,4311-01-19,1.10811441602572,0.19706768541628208,5.356657359963384,-31.45628963657812,101.957150162435,354.4747848267216
2410.999315537303,3332162.5,4411-01-19,1.1125040343519734,0.19858690414170468,5.334351560988073,-33.03421858962388,102.29132073933243,73.30961455215943
2510.999315537303,3368687.5,4511-01-20,1.1265897990393727,0.20025279432730825,5.30406822451476,-33.964083394517736,103.7002392081856,151.15651399316835
2610.999315537303,3405212.5,4611-01-21,1.1230788764176565,0.20026811604014116,5.320474047533713,-35.18380737390509,105.20261435701353,231.70757883174124
2710.999315537303,3441737.5,4711-01-22,1.1170844553783241,0.20329295151538795,5.457556675755931,-37.027189807042085,109.32628612408436,263.5600965714912
2810.999315537303,3478262.5,4811-01-22,1.1330005864457693,0.199820795277625,5.406050614134746,-38.68835554896963,108.83163818940587,215.5025735037402
2910.999315537303,3514787.5,4911-01-23,1.1091758125824314,0.20894155732787378,5.497463680277642,-40.13749503956481,110.12720324141314,171.8983642093183
3010.999315537303,3551312.5,5011-01-24,1.1320103234018675,0.19654157505887493,5.424329244802462,-41.68266028863424,111.7756688386374,177.15389694230703
3110.999315537303,3587837.5,5111-01-25,1.1205837373312022,0.19823174630821164,5.699315823905515,-42.790947588471234,115.43868735468942,226.1845960891816
3210.999315537303,3624362.5,5211-01-25,1.1207564818371738,0.20386440290712807,5.66573120268259,-44.504582861987494,115.72376784615405,211.52873133125433
3310.999315537303,3660887.5,5311-01-26,1.1254094718869552,0.20056693406708742,5.633339947676212,-45.850735967215535,118.7947977133288,163.492655195185
3410.999315537303,3697412.5,5411-01-27,1.1203026932828264,0.19470604718732612,5.6319213067036875,-47.5200725822973,117.37829596313834,109.3593312940148
3510.999315537303,3733937.5,5511-01-28,1.116427042092195,0.20576522400394046,5.571131861193186,-48.23485202406888,118.06527546377669,61.19826390766811
3610.999315537303,3770462.5,5611-01-28,1.1424885278829158,0.2068805871396546,5.507836138309317,-50.43182006682617,123.5526515506381,9.805935240049624
3710.999315537303,3806987.5,5711-01-29,1.1061269688789306,0.19492025483983966,5.559388078862927,-51.60875103482456,125.03060324861778,321.2410534491488
3810.999315537303,3843512.5,5811-01-30,1.1462448854967586,0.2040275472928092,5.3169456256178425,-52.82250199869779,123.65213456363921,287.1132018530457
3910.999315537303,3880037.5,5911-01-31,1.1411511031854809,0.19909983774769036,5.313367249287106,-54.74196949988249,127.86478091198549,66.83911366600641
4010.999315537303,3916562.5,6011-01-31,1.1167374292298822,0.20673634334423907,5.045886415996117,-56.418472795526284,125.19862293798826,57.17056822151221
4110.999315537303,3953087.5,6111-02-01,1.1476400761213594,0.20918365846439574,5.014095532448344,-58.1326843488371,130.85898153094084,35.51850528123935
4210.999315537303,3989612.5,6211-02-02,1.1231284975459654,0.2045627694939395,4.997352302497706,-59.52164446877248,132.33994563630714,331.09426957195706
4310.999315537303,4026137.5,6311-02-03,1.1333973101037211,0.2108638822695507,4.927999357770834,-60.94608675995029,133.4140800442637,191.79613838791377
4410.999315537303,4062662.5,6411-02-03,1.140563188478738,0.21012848812133614,4.8407739383102975,-62.74025031397894,133.06216336087152,5.214209905250144
4510.999315537303,4099187.5,6511-02-04,1.1281238356953938,0.20752473913061004,4.712502350407362,-64.8568333418729,134.72147021579298,52.351248497981125
