Time (yr since J2000),Julian Date,Calendar Date,a (AU),e,i (deg),Omega (deg),omega (deg),M (deg)
10.999315537303216,2455562.5,2011-01-01,1.1366544948502124,0.20025346387770235,5.996086347947707,1.8892139572477307,65.72676120606654,213.28368505718362
110.99931553730322,2492087.5,2111-01-02,1.1036005076332105,0.19430265388287282,6.206426840103635,-0.0010009879773696382,67.75851221992846,89.44072000183895
210.9993155373032,2528612.5,2211-01-03,1.1233069219022325,0.19602428566163607,6.186570132287394,-0.7151432291991989,69.41280783107236,180.05049665030606
310.99931553730323,2565137.5,2311-01-04,1.1320758176590822,0.19757955992631956,6.182554571321657,-1.84295409215581,68.46634766465226,286.84160831027435
410.99931553730323,2601662.5,2411-01-04,1.1058557646906981,0.2056042651636635,6.095627721406986,-3.3243436378220776,73.43573159666387,235.5248308303824
510.99931553730323,2638187.5,2511-01-05,1.1239757911093091,0.19601411818161038,6.067769895249429,-4.480835253452922,74.91051319960809,175.57579530738423
610.9993155373032,2674712.5,2611-01-06,1.1017149631297813,0.20470267365310732,6.141942076927613,-6.136446887775923,73.99516975370534,160.44474332515034
710.9993155373032,2711237.5,2711-01-07,1.1204612021291493,0.1950385502840211,6.05689755347393,-7.131062025214901,76.3589779324028,219.12171998832255
810.9993155373032,2747762.5,2811-01-07,1.1067232555172968,0.1912111316767063,6.005591026035621,-8.52930906571242,81.52775859988651,38.760413869429264
910.9993155373032,2784287.5,2911-01-08,1.1088989222137096,0.19930105075701382,5.93217065391172,-9.791981738511456,78.32321815434175,15.48095265810674
1010.9993155373032,2820812.5,3011-01-09,1.1184348825465145,0.19469680482230228,5.890726057394829,-11.088150289812813,81.18248226856078,254.9249272576589
1110.9993155373031,2857337.5,3111-01-10,1.104794628910271,0.1979432989323646,5.9840693808516185,-13.13823115187497,81.04259891921281,146.98548419969447
1210.9993155373031,2893862.5,3211-01-10,1.095212666317661,0.19953002796735791,5.964800924013039,-13.839376742715178,81.62862892299914,67.19486249957332
1310.9993155373031,2930387.5,3311-01-11,1.1001762507579953,0.196619287744361,5.817843566851812,-15.51552536117154,86.36940969986487,258.67342031775183
1410.9993155373031,2966912.5,3411-01-12,1.110989884635331,0.19547914341276085,5.757485971611321,-17.32500236106625,87.16468873077513,159.86066864540723
1510.9993155373031,3003437.5,3511-01-13,1.101843915644742,0.19986322758908018,5.731820140533336,-18.924151256846066,89.16123567483811,162.78833459679802
1610.9993155373031,3039962.5,3611-01-13,1.1031385964074618,0.19828983803348502,5.701929219656252,-20.38333337535985,89.58876915094578,180.21408865715728
1710.9993155373031,3076487.5,3711-01-14,1.1046791192516425,0.19950992601808676,5.65049397633589,-21.990811984732932,92.75754662454176,169.96135271657934
1810.9993155373031,3113012.5,3811-01-15,1.1044975386679483,0.19710267143261392,5.623344616298924,-23.643434293761857,92.38084127696376,140.77546672551458
1910.9993155373031,3149537.5,3911-01-16,1.1023211421515204,0.1992067770118166,5.603647614234123,-25.210549008401458,94.51401602027573,136.99729953999352
2010.9993155373031,3186062.5,4011-01-16,1.1054695927045433,0.19860785007856954,5.554195074541139,-26.668006868904712,95.89515101256129,143.5317062475149
2110.999315537303,3222587.5,4111-01-17,1.107720684643116,0.19753643969836993,5.5757919188602365,-28.158140663394754,97.75182401256977,145.54369908657196
2210.999315537303,3259112.5,4211-01-18,1.0982734229298614,0.2009281972526998,5.568604140716143,-29.697243458262722,98.2080110824735,151.26504025781162
2310.999315537303,3295637.5,4311-01-19,1.107170765078571,0.1962053961227052,5.494466363049253,-31.01692617124824,99.36586804317434,191.64209848150384
2410.999315537303,3332162.5,4411-01-19,1.0977664973490109,0.1991967095724897,5.557174355855056,-32.20115088844485,101.9013376219192,206.95139141162804
2510.999315537303,3368687.5,4511-01-20,1.1042218270961677,0.20081516711247738,5.476547608088465,-34.11250589969645,102.11964018579361,235.93080523968257
2610.999315537303,3405212.5,4611-01-21,1.1118889264138208,0.1956607650877387,5.460464273433276,-35.14661697261435,101.76801311201709,291.1168987995549
2710.999315537303,3441737.5,4711-01-22,1.1019598474160275,0.19096901894627202,5.623357866983297,-36.99934294216483,105.32114023516277,313.56129718440894
2810.999315537303,3478262.5,4811-01-22,1.1187864731386543,0.19466675425042707,5.713975307464623,-38.55325596372274,109.46391908904867,163.56307141489359
2910.999315537303,3514787.5,4911-01-23,1.1026784639678693,0.20360935127308025,5.827435331014983,-39.74362903988229,111.86571795728055,199.85055470523278
3010.999315537303,3551312.5,5011-01-24,1.1307400995211527,0.1936580769202329,5.745081910999287,-41.35867178435857,114.00381132306677,137.68088695832054
3110.999315537303,3587837.5,5111-01-25,1.1333625655316004,0.203740492000126,5.727955268683421,-42.75950039460159,113.600431841322,343.7921404697351
3210.999315537303,3624362.5,5211-01-25,1.1155957427969647,0.2009478673495045,5.715105462790758,-44.16839036306355,115.13540071712887,202.973991673674
